Simülasyon süresi: 100 sn
Müşteri gelme aralığı: 4 sn
Tek seferde gelen toplam müşteri sayısı: 7
Tek seferde gelen önemli müşteri sayısı: 7

Yapılan toplam hesaplama sayısı: 4312
1) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: 7
2) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: 6
3) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: 5
4) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: 4
5) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: 3
6) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: 2
7) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: 1
8) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: 6
9) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: 5
10) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: 4
11) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: 3
12) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: 2
13) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: 1
14) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: 0
15) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: 5
16) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: 4
17) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: 3
18) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: 2
19) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: 1
20) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: 0
21) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -1
22) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: 4
23) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: 3
24) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: 2
25) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: 1
26) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: 0
27) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -1
28) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -2
29) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: 3
30) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: 2
31) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: 1
