Simülasyon süresi: 50 sn
Müşteri gelme aralığı: 4 sn
Tek seferde gelen toplam müşteri sayısı: 5
Tek seferde gelen önemli müşteri sayısı: 5

Yapılan toplam hesaplama sayısı: 4109
1) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: 2
2) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: 1
3) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: 0
4) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -1
5) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -2
6) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -3
7) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -4
8) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: 1
9) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: 0
10) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -1
11) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -2
12) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -3
13) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -4
14) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -5
15) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: 0
16) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: -1
17) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -2
18) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -3
19) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -4
20) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -5
21) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -6
22) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: -1
23) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: -2
24) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -3
25) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -4
26) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -5
27) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -6
28) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -7
29) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: -2
30) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: -3
31) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -4
32) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -5
33) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -6
34) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -7
35) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -8
36) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: -3
37) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: -4
38) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -5
39) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -6
40) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -7
41) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -8
42) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -9
43) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: -4
44) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: -5
45) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -6
